,event_type,latitude,longitude,endlatitude,endlongitude,address,event_cause,requires_road_closure,start_datetime,end_datetime,veh_type,corridor,priority,created_date,police_station,closed_datetime,gba_identifier,zone,junction
0,unplanned,13.0400041,77.5180991,0.0,0.0,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2024-03-07 17:01:48.111+00,,lcv,Tumkur Road,1.0,2024-03-07 17:03:51.164032+00,Peenya,,,,
1,unplanned,12.9218755,77.6451585,0.0,0.0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,2024-01-30 04:07:24.173+00,,heavy_vehicle,ORR East 1,1.0,2024-01-30 04:08:22.954979+00,HSR Layout,,,,
2,unplanned,12.955622,77.5857083,0.0,0.0,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",others,False,2023-11-11 06:18:03.343+00,,,Non-corridor,0.0,2023-11-11 06:20:00.989398+00,Wilson Garden,2024-01-30 04:56:03.281509+00,Bengaluru Central Corporation,Central Zone 2,UrvashiJunction
3,unplanned,13.0061469,77.5794348,13.0062394,77.5795156,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",tree_fall,True,2024-03-07 17:56:55.061+00,,,Non-corridor,0.0,2024-03-07 17:58:56.696892+00,Sadashivanagar,2024-03-14 07:42:05.54944+00,,,
4,unplanned,12.95398,77.5852333,0.0,0.0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",vehicle_breakdown,False,2024-01-30 04:56:32.348+00,,private_bus,Non-corridor,0.0,2024-01-30 04:58:55.937662+00,Wilson Garden,2024-01-30 05:35:17.338283+00,,,LalbaghMainGateJunc
5,unplanned,13.0664854,77.5998755,,,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",accident,False,2023-11-28 03:07:27.292421+00,,,Non-corridor,0.0,2023-11-28 03:08:23.242047+00,Hebbala,,Bengaluru North Corporation,North Zone 1,
6,unplanned,12.9328703,77.4879814,0.0,0.0,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",vehicle_breakdown,False,2024-01-30 07:26:26.739+00,,bmtc_bus,Non-corridor,0.0,2024-01-30 07:28:18.053017+00,Kengeri,,,,
7,unplanned,12.973175,77.6003961,0.0,0.0,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,False,2024-01-30 06:05:59.339+00,,,Non-corridor,0.0,2024-01-30 06:08:11.015846+00,Cubbon Park,2024-02-16 01:28:18.330429+00,,,
8,planned,12.97883573,77.59953728,,,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",public_event,False,2024-02-12 02:05:46+00,2024-02-12 14:05:46+00,,CBD 2,1.0,2024-01-30 05:09:41.077868+00,Cubbon Park,,,,QueensStatueCircle
9,unplanned,13.0373543,77.6540442,0.0,0.0,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",vehicle_breakdown,False,2024-01-30 05:25:50.078+00,,lcv,Non-corridor,0.0,2024-01-30 05:26:53.362158+00,Hennuru,,,,
10,unplanned,13.0008457,77.6813712,0.0,0.0,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",water_logging,False,2024-03-07 18:01:40.182+00,,,ORR East 2,1.0,2024-03-07 18:02:16.983926+00,K.R. Pura,2024-03-14 05:49:58.160945+00,,,
11,unplanned,12.94457,77.5274017,0.0,0.0,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",vehicle_breakdown,False,2024-01-30 05:21:06.975+00,,private_car,ORR West 1,1.0,2024-01-30 05:21:50.591304+00,Byatarayanapura,,,,MysoreRd-RingRdJunc(Nayandanahallii)
